"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_10","id_11","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_22","id_24","id_28","id_29","id_33","id_35","id_39","id_45","id_46","id_47","id_48","id_49","id_50","id_55","id_69","id_105","id_117","id_119","id_133","id_165","id_203","id_214","id_276","id_304","id_473","id_479","id_641","id_746","id_748","id_749","id_750","id_751","id_752","id_753","id_754","id_755","id_756","id_757","id_758","id_759","id_760","id_761","id_762","id_763","id_764","id_765","id_766","id_767","id_768","id_769","id_770","id_771","id_772","id_773","id_774","id_775","id_776","id_777","id_778"
"id_13",0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_14",0,0,0,0,0,0,0,0,133,176,0,0,66,344,94,137,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,348,237,137,0,34,0,74,0,0,0,0,0,0,0,389,83,0,0,17,0,0,117,0,67,0,0,0,0,0,0,0,0,0,0,178,0,0,136,216,0,88,51,0,0,0,0
"id_15",0,0,0,0,0,0,0,0,31,0,0,2,0,26,89,92,73,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
"id_16",0,0,0,0,0,0,0,0,90,11,0,289,67,0,65,112,23,278,0,0,0,0,0,0,0,0,0,0,0,0,0,57,68,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4,0,0,39,0,22,0,0,0,0,0,0,0,0,0,0,0,0,17,90,33,0,60,0,0,0,0,0
"id_17",0,0,0,0,0,0,0,0,57,0,0,0,106,40,0,79,87,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"id_18",0,0,0,0,0,0,0,0,41,0,0,122,40,129,35,0,82,186,0,0,0,0,0,0,0,0,0,0,0,0,0,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,0,0,0,0,0,0,0,0
"id_19",0,0,0,0,0,0,0,0,0,0,0,0,75,29,71,81,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
"id_20",0,0,0,0,0,0,0,0,79,0,0,364,91,266,87,188,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,260,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,58,0,0,125,0,119,0,0,0,0,0,0,0,0,0,0,53,0,34,120,172,0,156,0,0,0,0,0
"id_22",0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,1201,179,901,0,0,0,0,0,0,0,0,416,842,2916,1199,2157,752,0,2058,1686,243,0,0,58,828,1173,0,0,140,0,0,0,0,557,53,22,369,582,16,0,0,3240,1963,0,0,55,0,0,0,185,0,0,0,0,0,0,0
"id_24",1239,924,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
